"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",5.175,10.2375,4.11713576388889,2,16.1
"Berlin","Berlin","Berlin","(BE)",5.55,11.0625,4.43817326388889,2,18.6
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",6.0125,8.425,3.08042638888889,2,17.7
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",5.55,4.975,3.51770590277778,2,11.7
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",5.975,9.5625,2.95062881944444,2,13.36
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",4.6125,6.8,5.95087777777778,1,23.51
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",5.7125,7.45,3.22889548611111,2,18.5
"Dresden","Sachsen","Dresden, Sachsen","(SN)",5.675,12.375,4.49832847222222,2,10.1
"München","Bayern","München, Bayern","(BY)",6.675,12.4875,6.22680972222222,4,5.6
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",5.9625,12.475,7.56122986111111,2,16.15
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",5.8625,7,3.20530902777778,2,15.1
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",5.325,7.0625,3.34150694444444,2,15.06
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",6.175,12.3625,5.85608541666667,2,9.1
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",6.975,12.4125,5.96115104166667,4,7.2
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",6.0375,8.0625,3.581946875,2,14.1
