"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"31.01.2026",5.6,-5.8,7.00944166666667,0,0
"01.02.2026",5.6,-8.6,6.802625,0,0
"02.02.2026",5.6,-9.6,6.57849166666667,0,0
"03.02.2026",5.2,-7.8,4.822075,0,0
"04.02.2026",2.8,-7.2,0,4.1,0
"05.02.2026",1,-4.7,0,6,8
"06.02.2026",4.4,-1.7,0.0358083333333333,2,0
"07.02.2026",5.2,-0.5,0,0,0
"08.02.2026",6.4,-2.6,8.17461944444445,0,0
"09.02.2026",6.6,-1.8,8.33918055555556,0,0
"10.02.2026",6.8,1.1,2.85628055555556,0.3,0
