"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.11.2025",7.8,1.8,7.03921666666667,0,0
"22.11.2025",7.6,2.8,5.44478333333333,0,0
"23.11.2025",7.4,2.5,6.27392777777778,0.1,0
"24.11.2025",2.6,5.2,3.30227777777778,5,9
"25.11.2025",5.4,4.2,0,1.3,0
"26.11.2025",6.2,4.7,0,0,0
"27.11.2025",6.4,3.2,0,0,0
"28.11.2025",6,6.9,0,1.3,0
"29.11.2025",6.6,6.8,1.710825,0.3,0
"30.11.2025",7.6,5.8,5.88982777777778,0,0
"01.12.2025",6.6,5.5,0.583519444444444,0,0
