"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"05.03.2026",8.6,11.1,9.4496,0,0
"06.03.2026",8.8,14.3,9.504175,0,0
"07.03.2026",8.2,12.8,7.24568888888889,0,0
"08.03.2026",8,7.2,7.23569722222222,0,0
"09.03.2026",8.6,12.6,9.69743055555556,0,0
"10.03.2026",8.6,10.7,9.17761944444444,0,0
"11.03.2026",7.2,11.9,6.84670555555556,3.3,0
"12.03.2026",8.8,15.5,10.4493,0,0
"13.03.2026",9,17.1,10.5208277777778,0,0
"14.03.2026",6.6,11.9,0.282005555555556,0.6,0
"15.03.2026",7.8,12.9,8.81516666666667,1.6,0
