"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"25.02.2026",2.2,13,0,3.3,9
"26.02.2026",3.5,10.9,0,1.7,6
"27.02.2026",6.6,9.9,9.20623055555556,0,3
"28.02.2026",7.8,7.1,9.00001944444444,0,0
"01.03.2026",5.6,10.8,0,0,1
"02.03.2026",7.6,9.7,9.07358888888889,0,0
"03.03.2026",8,8.1,9.73939722222222,0,0
"04.03.2026",8.2,9.7,9.81532777777778,0,0
"05.03.2026",7,9.9,1.09672777777778,0,0
"06.03.2026",8,11.9,9.96796944444445,0,0
"07.03.2026",8.2,10.9,9.94563611111111,0,0
