"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"07.04.2026",9.2,13.9,13,0,0
"08.04.2026",9.2,14.9,12.479275,0,0
"09.04.2026",8,13.8,5.54920833333333,0.2,0
"10.04.2026",6.6,11.6,6.83627777777778,2.1,0
"11.04.2026",9.2,16.1,13.0475194444444,0,0
"12.04.2026",5.2,10,0.127025,3.9,0
"13.04.2026",8.6,13.7,13.1186611111111,0,0
"14.04.2026",8.6,16.3,13.4367972222222,0.3,0
"15.04.2026",8.6,16.5,9.25346944444444,0,0
"16.04.2026",8.6,17.4,13.5089611111111,0,0
"17.04.2026",8.2,17.9,11.0371416666667,0.3,0
