"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"12.11.2025",8.2,13.6,4.01672777777778,0,0
"13.11.2025",5,12.6,0,1,1
"14.11.2025",1,11.6,0,11.7,15
"15.11.2025",5.6,7.1,0,0,1
"16.11.2025",6.2,7.9,0,0,0
"17.11.2025",6,7.4,7.12508333333333,4.3,0
"18.11.2025",1.7,7,1.93875277777778,2.6,10
"19.11.2025",2.2,7.6,1.21668055555556,6.3,8
"20.11.2025",5,7.9,7.09596944444444,1.9,4
"21.11.2025",4.4,11.1,0.325944444444444,7.9,0
"22.11.2025",7,9.8,6.98791388888889,0,0
