"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.32,9.46,7.55813888888889,2,7.2
"München","Deutschland :de:",5.3,6.38,6.34442111111111,2,14.36
"Hamburg","Deutschland :de:",6.6,9.26,9.67897,2,9.4
"Köln","Deutschland :de:",4.36,8.46,7.35459444444444,1,22
"Dresden","Deutschland :de:",7.36,9.08,7.38802055555556,2,4.2
"Leipzig","Deutschland :de:",7.28,9.14,7.35387388888889,1,3.7
"Frankfurt am Main","Deutschland :de:",6.62,9.3,8.23579333333333,2,6.9
"Freiburg im Breisgau","Deutschland :de:",5.88,8.12,7.25858055555556,1,7.88
"Berchtesgaden","Deutschland :de:",4.16,5.4,6.18027222222222,1,30
"Garmisch-Partenkirchen","Deutschland :de:",4.14,4.86,6.517765,1,30.08
"Binz (Rügen)","Deutschland :de:",7.64,8.54,9.59489555555556,3,3.7
"Heringsdorf (Usedom)","Deutschland :de:",7.48,8.52,7.59019,3,3
"Westerland (Sylt)","Deutschland :de:",6.44,5.96,9.24231111111111,1,11.8
"Wernigerode (Harz)","Deutschland :de:",5.46,7.12,7.38317833333333,2,18.5
"Cochem (Mosel)","Deutschland :de:",5.52,8.38,7.71762222222222,2,8.6
"Kempten (Allgäu)","Deutschland :de:",4.84,4.94,6.51282777777778,2,13.88
"Nürnberg","Deutschland :de:",7.12,8.34,7.16748611111111,2,7.7
"Münster","Deutschland :de:",4.74,8.56,8.02056111111111,1,14.9
"Stuttgart","Deutschland :de:",6.8,9.16,8.40860777777778,1,6.43
"Norderney","Deutschland :de:",4.92,7.26,9.48628666666667,0,13.3
"Erfurt","Deutschland :de:",6.76,8.54,6.93814055555556,2,7.9
"Bremen","Deutschland :de:",6.92,9.56,9.29192,1,6.9
"Timmendorfer Strand","Deutschland :de:",7.4,9.04,10.2478983333333,2,1.4
"Karlsbad","Tschechien :cz:",7.36,7.12,7.21228666666667,2,7.4
"Enschede","Niederlande :nl:",4.58,8.86,8.96280166666667,1,15.3
"Pilsen","Tschechien :cz:",7.44,8.26,7.00290722222222,3,3.76
"Maastricht","Niederlande :nl:",4.2,9.04,7.79009833333333,1,17.7
"Giethoorn","Niederlande :nl:",5.38,8.68,9.48321722222222,0,18.3
"Groningen","Niederlande :nl:",4.56,8.26,8.67522277777778,0,25.6
"Eindhoven","Niederlande :nl:",5.54,9.38,8.774295,1,15.3
"Prag","Tschechien :cz:",7.68,9.08,6.72183055555556,4,3
"Luxemburg","Luxemburg :lu:",5.88,7.22,7.58591611111111,1,10.6
"Straßburg","Frankreich :fr:",6.94,10.38,8.40376722222222,1,4.18
"Amsterdam","Niederlande :nl:",5.66,8.92,9.22106666666667,1,14.1
"Dinant","Belgien :be:",4.66,8.5,7.71922333333333,1,13.9
"Rotterdam","Niederlande :nl:",5.56,9.16,8.30390277777778,1,10.6
"Antwerpen","Belgien :be:",5.44,9.38,6.90526666666667,1,14.5
"Zandvoort","Niederlande :nl:",4.4,8.4,8.42771722222222,0,19.2
