"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.5,10.45,9.26279444444445,1,1.51
"München","Deutschland :de:",6.8,7.1,7.36848611111111,1,0.8
"Hamburg","Deutschland :de:",6.6,10.3,6.171925,0,2.2
"Köln","Deutschland :de:",4.9,10.2,6.89652361111111,0,3.9
"Dresden","Deutschland :de:",8.4,9.95,9.87840277777778,2,0
"Leipzig","Deutschland :de:",6.65,9.75,8.85939583333333,1,2.46
"Frankfurt am Main","Deutschland :de:",4.8,8.3,5.50291388888889,1,4.32
"Freiburg im Breisgau","Deutschland :de:",5.6,7.95,7.56622361111111,0,4.39
"Berchtesgaden","Deutschland :de:",7.5,6.2,8.72420416666667,1,0.1
"Garmisch-Partenkirchen","Deutschland :de:",5.65,5.05,7.99,1,0
"Binz (Rügen)","Deutschland :de:",6.3,7.7,5.94870694444444,1,2.5
"Heringsdorf (Usedom)","Deutschland :de:",6.8,8.8,6.84302916666667,1,1.46
"Westerland (Sylt)","Deutschland :de:",7.2,6.65,9.82296805555556,1,1.2
"Wernigerode (Harz)","Deutschland :de:",4.8,8,5.61936111111111,1,2.9
"Cochem (Mosel)","Deutschland :de:",4.6,9.3,5.42300972222222,1,4.1
"Kempten (Allgäu)","Deutschland :de:",6.15,5.3,7.33530694444444,1,1.2
"Nürnberg","Deutschland :de:",7.2,8.9,7.78355138888889,0,0.96
"Münster","Deutschland :de:",4.85,10.25,6.7654,0,4.78
"Stuttgart","Deutschland :de:",6.05,9.1,6.90508472222222,0,3.4
"Norderney","Deutschland :de:",6.8,7.7,8.19330555555555,0,4.4
"Erfurt","Deutschland :de:",5.6,8.55,6.84620694444444,1,3.28
"Bremen","Deutschland :de:",7,10.5,7.43106944444444,1,2
"Timmendorfer Strand","Deutschland :de:",6.7,9.5,5.85161527777778,0,1.7
"Karlsbad","Tschechien :cz:",8.3,8.15,9.87066527777778,2,0
"Enschede","Niederlande :nl:",6.4,10.4,7.71454861111111,0,2.28
"Pilsen","Tschechien :cz:",8.3,9.2,9.63741944444444,2,0
"Maastricht","Niederlande :nl:",5.45,10.3,7.73756666666667,0,1.38
