"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"20.12.2025",5.4,9.7,0.0789333333333333,0.5,3
"21.12.2025",7.2,6.4,0.984527777777778,0,0
"22.12.2025",6.8,3.1,0,0,0
"23.12.2025",6.6,4.2,0,0,0
"24.12.2025",7,4.4,1.03620555555556,0,0
"25.12.2025",6.4,4.5,0,0,0
"26.12.2025",6.8,4.7,0.591388888888889,0,0
"27.12.2025",7.4,1.3,5.33008333333333,0.3,0
"28.12.2025",7.8,2.5,6.80071388888889,0,0
"29.12.2025",7.8,1.4,7.04333055555556,0,0
"30.12.2025",7.8,1,7.05850833333333,0,0
