"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",3.8,0.8,1.6699212962963,0,11
"Berlin","Berlin","Berlin","(BE)",3.93333333333333,1.1,2.06116574074074,0,7.3
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",4.86666666666667,0.2,2.08159166666667,1,5.6
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",4.73333333333333,1.1,1.97809907407407,0,11.8
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",4.6,0.4,2.06318240740741,1,15
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",4.13333333333333,1.63333333333333,1.7131962962963,0,15.1
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",4.93333333333333,0.933333333333333,2.09312592592593,1,7.05
"Dresden","Sachsen","Dresden, Sachsen","(SN)",2.36666666666667,2.23333333333333,2.9703962962963,0,9.3
"München","Bayern","München, Bayern","(BY)",2.7,3.63333333333333,4.31142314814815,0,4.5
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",3.66666666666667,2.9,1.91409814814815,0,13.3
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",3.46666666666667,-0.133333333333333,1.90621481481481,1,7.7
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",4,1.23333333333333,1.01392037037037,0,10.6
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",3.83333333333333,2.76666666666667,3.23624351851852,0,6.6
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",3.23333333333333,4,2.58998425925926,0,17.45
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",4.73333333333333,0.833333333333333,2.05352314814815,1,13.06
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",4.4,0.833333333333333,1.56591388888889,0,12.2
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",4.06666666666667,1.8,0.792848148148148,0,14.1
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",3.46666666666667,4.16666666666667,3.44512037037037,0,4.2
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",4.66666666666667,0.666666666666667,2.13342222222222,1,10.66
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",1.13333333333333,2.4,2.65501388888889,0,18.8
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",4.46666666666667,-0.266666666666667,1.9089712962963,1,13.5
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",4.46666666666667,0.333333333333333,2.02204814814815,1,7.55
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",1.33333333333333,3.26666666666667,4.49092685185185,0,19.85
