"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"12.12.2025",6.6,7.3,0,0.1,0
"13.12.2025",8.2,8.6,6.10848888888889,0,0
"14.12.2025",6.8,4.2,0,0,0
"15.12.2025",7.8,4.4,4.76401944444445,0,0
"16.12.2025",7,1.1,0.370338888888889,0,0
"17.12.2025",6.8,2.2,0,0,0
"18.12.2025",8.4,10.2,7.65153333333333,0,0
"19.12.2025",8.2,9.6,7.68399722222222,0,0
"20.12.2025",8.2,8.9,7.68171944444444,0,0
"21.12.2025",8,8.4,7.680875,0,0
"22.12.2025",8.2,7.3,7.68146388888889,0,0
