"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",6.32,-0.84,1.84513055555556,5,0
"Berlin","Berlin","Berlin","(BE)",5.6,-2.28,1.80029888888889,5,0
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",6.56,-1.5,3.28023944444444,5,0
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",6.44,-0.2,1.522415,5,0
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",6.44,-1.24,1.25245833333333,5,0
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",6.28,1.02,1.97788833333333,1,1.18
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",6.56,-1.28,3.12576222222222,5,0
"Dresden","Sachsen","Dresden, Sachsen","(SN)",6.4,0.24,1.14896611111111,5,0
"München","Bayern","München, Bayern","(BY)",4.96,1.58,1.52387944444444,2,8.8
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",4.38,3.8,0.858041111111111,0,12.68
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",6.36,-1.34,1.27006611111111,5,0
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",6.32,-0.6,1.06339888888889,5,0
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",5.92,-0.88,0.472888333333333,5,0
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",4.92,2.72,1.54796666666667,2,6.03
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",6.48,-0.72,1.44554333333333,5,0
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",6.44,-0.4,1.67597611111111,5,0
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",6.36,1,2.81972277777778,2,2.1
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",4.84,3.08,1.15309555555556,1,11.87
