"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"07.05.2026",9.2,14.5,14.7581722222222,0,0
"08.05.2026",9.2,15.1,14.747925,0,0
"09.05.2026",9.2,15.7,14.4931722222222,0,0
"10.05.2026",8.6,17,8.01115555555556,0.3,0
"11.05.2026",7.6,12.4,14.9566805555556,0.9,0
"12.05.2026",7.2,11,7.64525,1.2,0
"13.05.2026",8.2,13.3,15.5747277777778,1.2,0
"14.05.2026",2.8,11.8,1.45088333333333,3.9,8
"15.05.2026",8.2,16.8,15.4399333333333,0.1,0
"16.05.2026",7.2,16.6,8.71808333333333,3.4,0
"17.05.2026",5.2,11.1,0,4.6,0
