"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"04.04.2026",7,12.5,0,0,0
"05.04.2026",9.4,21.9,10.9257527777778,0,0
"06.04.2026",9,14.6,11.4425611111111,0,0
"07.04.2026",9.4,17.5,12.8993638888889,0,0
"08.04.2026",9.4,19.1,12.9300944444444,0,0
"09.04.2026",9.2,20.8,12.2605388888889,0,0
"10.04.2026",8,13.8,10.6715138888889,0,0
"11.04.2026",8,6.9,13.1541222222222,0,0
"12.04.2026",8.2,9.5,13.1386888888889,0,0
"13.04.2026",8.4,9.4,12.7739,0,0
"14.04.2026",6.2,6.1,0.286058333333333,0.3,0
