"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"27.12.2025",8.6,12.9,8.53138611111111,0,0
"28.12.2025",8.4,12.4,8.38566111111111,0,0
"29.12.2025",8.6,10.1,8.56751111111111,0,0
"30.12.2025",7.8,12.7,7.61906388888889,0,0
"31.12.2025",6.4,13.7,8.56734444444444,0,5
"01.01.2026",8,12.9,8.59993055555556,0,0
"02.01.2026",6.6,12.6,8.61306666666667,0,2
"03.01.2026",6.4,14.3,6.17636111111111,3.9,0
"04.01.2026",2.6,14.4,8.63379444444444,1.5,13
"05.01.2026",7.4,12.7,8.64866666666667,0,0
"06.01.2026",6.2,15.9,8.66405277777778,0,5
