"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"23.12.2025",5.6,-0.3,0,0,0
"24.12.2025",1,-0.7,0,3.6,10
"25.12.2025",8,0.4,6.95311944444444,0,0
"26.12.2025",8,4.9,7.22561388888889,0,0
"27.12.2025",7.8,4.7,7.22802777777778,0,0
"28.12.2025",7.6,2,7.20518611111111,0,0
"29.12.2025",7,1.4,7.15253888888889,0,0
"30.12.2025",7,0.5,7.15262222222222,0,0
"31.12.2025",6,0,7.007975,2,0
"01.01.2026",1.2,-3.5,7.34686944444444,0,12
"02.01.2026",3.6,-5.2,7.15383888888889,0,2
