"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"06.05.2026",9.2,18.7,11.4715305555556,0,0
"07.05.2026",4,16.5,0.701475,0,8
"08.05.2026",2.8,14.3,12.2364527777778,2.9,12
"09.05.2026",5.9,15.9,14.561025,0.3,7
"10.05.2026",4.7,15.2,11.8706138888889,5.6,7
"11.05.2026",2.7,16.3,8.41773611111111,14.1,10
"12.05.2026",3.5,19.9,14.5185277777778,6.8,10
"13.05.2026",6.2,9.2,10.9501138888889,1.2,2
"14.05.2026",6.2,13,14.9612833333333,1.2,5
"15.05.2026",4.4,14.7,0.892416666666667,2.4,4
"16.05.2026",2.9,12.1,10.4440722222222,3.7,10
