"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",8,18,7.76618333333333,1,0
"Berlin","Berlin","Berlin","(BE)",8.6,18.7,9.45130833333333,1,0
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",8,16.3,7.39109722222222,1,0
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",6.6,9.2,2.55651666666667,0,0.9
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",7.8,15.6,7.20440833333333,1,0
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",6.6,7.6,9.81368888888889,0,2.2
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",7.8,13.6,7.54257222222222,1,0
"Dresden","Sachsen","Dresden, Sachsen","(SN)",8.6,16.9,9.83477222222222,1,0
"München","Bayern","München, Bayern","(BY)",8.6,17.6,10.800275,1,0
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",3.4,6.9,0,0,5.6
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",8,11.1,8.73433611111111,1,0
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",7.2,12.3,4.20512222222222,0,0.3
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",8.8,19.7,10.3762027777778,1,0
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",8.2,18.8,10.4021805555556,1,0
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",7.6,11.2,6.88429722222222,1,0
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",6.4,8.8,3.11430833333333,0,0.3
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",6.6,7.9,9.58410555555555,0,2
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",8.4,17.1,10.4923027777778,1,0
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",8.2,17.7,8.42363055555555,1,0
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",8.4,14.5,10.8881611111111,1,0
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",8,17.4,7.19581111111111,1,0
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",8,17.4,7.28028333333333,1,0
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",8.6,17.1,10.6980972222222,1,0
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",8.2,14.5,9.70239166666667,1,0
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",4.4,7.2,0,0,5.2
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",7.8,16.2,7.39109722222222,1,0
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",8.4,19.1,8.69001666666667,1,0
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",7.8,15.6,7.20440833333333,1,0
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",8.2,18,7.53407222222222,1,0
"Hannover","Niedersachsen","Hannover, Niedersachsen","(NI)",8.2,19.9,8.451825,1,0
"Oberstdorf","Bayern","Oberstdorf, Bayern","(BY)",8,13.5,10.9309,1,0
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg","(BW)",8.2,19,10.65445,1,0
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen","(NW)",4.6,7.7,0,0,3
"Potsdam","Brandenburg","Potsdam, Brandenburg","(BB)",8.8,18.8,10.0895944444444,1,0
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern","(MV)",8.2,17.3,8.49086666666667,1,0
"Norddeich","Niedersachsen","Norddeich, Niedersachsen","(NI)",6.8,9.6,9.077275,0,2.4
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern","(MV)",7.4,13.6,5.88106388888889,0,0.3
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz","(RP)",5.6,13.2,1.53098611111111,0,2
"Lindau","Bayern","Lindau, Bayern","(BY)",8.6,18.5,10.5813805555556,1,0
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg","(BW)",8.4,21.4,10.5478027777778,1,0
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern","(MV)",7.6,14,5.68509722222222,1,0
"Erfurt","Thüringen","Erfurt, Thüringen","(TH)",8.6,19.4,10.4822916666667,1,0
"Juist","Niedersachsen","Juist, Niedersachsen","(NI)",7,9.5,9.077275,0,2.4
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen","(NI)",6.6,9.3,8.83133055555556,0,3
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein","(SH)",7.4,8.7,6.42811944444444,1,0
"Füssen","Bayern","Füssen, Bayern","(BY)",8.6,16.1,10.8594583333333,1,0
"Bremen","Bremen","Bremen","(HB)",7.6,17.8,6.953375,1,0
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein","(SH)",6.6,10.3,2.96319722222222,0,0.3
"Bamberg","Bayern","Bamberg, Bayern","(BY)",8.8,19.2,10.6172666666667,1,0
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg","(BW)",8,18.1,10.8745111111111,1,0
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz","(RP)",5,12,0,0,2
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz","(RP)",4,11.2,0.0436138888888889,0,2.1
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern","(MV)",7.6,11.4,6.56139444444444,1,0
"Nürnberg","Bayern","Nürnberg, Bayern","(BY)",8.6,19,10.6646166666667,1,0
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",8,17.3,10.4168916666667,1,0
"Bremerhaven","Bremen","Bremerhaven","(HB)",7.4,15.1,4.66534722222222,1,0
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",8.6,16.6,9.83718888888889,1,0
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern","(MV)",7.8,11,7.99718333333333,1,0
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg","(BW)",8.4,17.5,10.437525,1,0
"Weimar","Thüringen","Weimar, Thüringen","(TH)",8.8,19.6,10.4887083333333,1,0
"Würzburg","Bayern","Würzburg, Bayern","(BY)",8.4,19.5,10.5856972222222,1,0
