"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"18.03.2026",9.2,19.2,9.72196944444444,0,0
"19.03.2026",9.2,17.7,11.0712583333333,0,0
"20.03.2026",7.6,17,6.25063333333333,0,0
"21.03.2026",8.8,15.5,11.3275666666667,0,0
"22.03.2026",9,17.3,11.3688888888889,0,0
"23.03.2026",9,18.6,11.4854861111111,0,0
"24.03.2026",9.4,21.3,11.5333138888889,0,0
"25.03.2026",9,17,11.5304555555556,0,0
"26.03.2026",8.6,16.9,7.38415833333333,0,0
"27.03.2026",7.2,16.5,0.492069444444444,0.1,0
"28.03.2026",8.4,17.7,11.4780694444444,0,0
