"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"22.11.2025",2.7,10,0,5.7,7
"23.11.2025",7.6,9,4.73055,0.6,0
"24.11.2025",3.9,11.2,5.02881388888889,7.6,6
"25.11.2025",1,14.8,0,26.1,15
"26.11.2025",2,14,7.930025,3.5,15
"27.11.2025",7.4,12,5.99375277777778,0,0
"28.11.2025",8.2,13.7,6.99425,0,0
"29.11.2025",8.6,11.3,8.20006388888889,0,0
"30.11.2025",8.4,10.5,8.17215,0,0
"01.12.2025",7.8,8.5,7.88013055555556,0,0
"02.12.2025",8,10.6,8.11925,0,0
