"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.03.2026",5.6,7.8,0.371311111111111,0,3
"16.03.2026",5.8,6.6,3.84571666666667,1.7,2
"17.03.2026",8.6,9.8,10.7515083333333,0,0
"18.03.2026",8.8,11.8,10.8374583333333,0,0
"19.03.2026",8.8,15.1,10.8798972222222,0,0
"20.03.2026",8,12.4,9.59240555555556,0,0
"21.03.2026",8,11.8,7.28728888888889,0,0
"22.03.2026",8.6,12.2,11.2528583333333,0,0
"23.03.2026",8.6,14.3,11.3645916666667,0,0
"24.03.2026",8.4,13,11.320275,0,0
"25.03.2026",8.6,16,10.9695611111111,0,0
