"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",8.8,13.4333333333333,11.5799064814815,6,0
"Berlin","Berlin","Berlin","(BE)",8.9,13.7166666666667,13.6350041666667,6,0
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",8.83333333333333,11,13.679337037037,6,0
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",8.5,10.8,11.5581092592593,5,1.5
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",8.83333333333333,12.6666666666667,12.8312564814815,6,0
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",8.5,8.8,11.5976361111111,6,0
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",8.8,10.1833333333333,13.4136851851852,6,0
"Dresden","Sachsen","Dresden, Sachsen","(SN)",8.93333333333333,13.95,13.1326152777778,6,0
"München","Bayern","München, Bayern","(BY)",8.63333333333333,14.9166666666667,11.2580578703704,5,1.8
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",9.23333333333333,16.55,13.6259773148148,6,0
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",8.7,11.2,13.581875,5,0.08
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",8.3,10.9666666666667,10.4960587962963,5,2.8
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",9,14,13.3170412037037,6,0
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",9.03333333333333,16.9,12.6671050925926,5,2.6
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",8.8,12.25,12.9778462962963,6,0
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",8.53333333333333,11.2166666666667,11.4667541666667,5,1.3
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",8.66666666666667,9.06666666666667,12.1756425925926,6,0
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",8.9,16.7,11.606375,5,0.16
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",8.76666666666667,11.2833333333333,13.0853375,6,0
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",8.1,13.65,10.080950462963,5,5.4
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",8.83333333333333,13.1,12.8742101851852,6,0
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",8.8,12.6,13.2580675925926,6,0
