"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.11.2025",7.4,14.5,3.68551111111111,0,0
"16.11.2025",7.8,12.5,3.04095833333333,0,0
"17.11.2025",8.4,9.6,7.50614444444444,0,0
"18.11.2025",6.6,10.3,3.0761,2.5,0
"19.11.2025",7.2,10.5,7.6429,0,0
"20.11.2025",6.4,7.8,7.53444166666667,0.3,0
"21.11.2025",6.4,7.7,7.565275,2.7,0
"22.11.2025",7.2,11.6,5.79834444444444,0,0
"23.11.2025",6.6,13.2,1.630275,0.3,0
"24.11.2025",6.2,10.5,7.11891388888889,2.1,1
"25.11.2025",6.6,8.9,7.33715555555556,0.9,0
