"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"28.01.2026",1,-0.1,0,4.1,9
"29.01.2026",4.2,-0.3,0,2.8,0
"30.01.2026",7.6,0.4,4.80241666666667,0,0
"31.01.2026",7,3,6.19430833333333,0.7,0
"01.02.2026",7.4,3.6,6.56335277777778,0,0
"02.02.2026",7,4.7,3.54201388888889,0.3,0
"03.02.2026",5.2,7.5,0,2,0
"04.02.2026",7.4,9.1,5.45018611111111,0.26,0
"05.02.2026",7.8,6.8,7.92923333333333,0,0
"06.02.2026",6,4,0.148205555555556,0.6,0
"07.02.2026",7,6.1,3.27368611111111,0,0
