"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.01.2026",8.2,6.9,7.61038333333333,0,0
"22.01.2026",8.2,6.8,6.15590555555556,0,0
"23.01.2026",8.2,6,7.10734444444444,0,0
"24.01.2026",6.4,3.6,6.17216944444445,1.9,0
"25.01.2026",7.6,2.2,6.07906388888889,0.2,0
"26.01.2026",5.2,1.5,0,4.1,0
"27.01.2026",7.6,2.8,8.13917777777778,0,0
"28.01.2026",7,6.6,7.79848333333333,0,0
"29.01.2026",1.3,9.8,0.203322222222222,6.9,11
"30.01.2026",5.8,4.4,8.27672222222222,1.3,1
"31.01.2026",7.4,8.2,8.50267777777778,0,0
