"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"25.04.2026",9.8,21.9,13.0724555555556,0,0
"26.04.2026",9.6,18,13.0578611111111,0,0
"27.04.2026",9.4,18.9,10.249175,0,0
"28.04.2026",9.6,21.4,14.2196305555556,0,0
"29.04.2026",9.6,20.9,14.3927638888889,0,0
"30.04.2026",9.4,17.2,14.38195,0,0
"01.05.2026",9.4,18.8,14.5008194444444,0,0
"02.05.2026",9.8,26.1,14.5539805555556,0,0
"03.05.2026",9.2,25,14.6066194444444,0,0
"04.05.2026",6.8,20.5,0.729116666666667,1.5,0
"05.05.2026",9,19,13.7364972222222,0,0
