"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"07.01.2026",7.6,4.7,5.905925,0,0
"08.01.2026",2.3,4.3,0,8.13,7
"09.01.2026",4.8,1.8,0,3.8,0
"10.01.2026",7.6,1,6.54324444444444,0,0
"11.01.2026",1,9.1,0,10.05,15
"12.01.2026",7.4,9.4,4.54807222222222,0,0
"13.01.2026",4.4,9.8,0,10.8,0
"14.01.2026",6.6,7.3,5.65150277777778,1.8,0
"15.01.2026",7.2,6.7,6.78158611111111,0,0
"16.01.2026",5.6,4.7,2.60056111111111,2.1,0
"17.01.2026",7.6,6.1,6.773225,0,0
