"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.03.2026",8.2,12.1,6.21825555555556,0,0
"02.03.2026",8.8,13,9.25986111111111,0,0
"03.03.2026",8.6,14.2,9.29425833333333,0,0
"04.03.2026",8.8,14.7,10.0750055555556,0,0
"05.03.2026",8.6,14.5,9.40774166666667,0,0
"06.03.2026",7.6,11.7,9.16594444444445,1.6,0
"07.03.2026",5.2,4.1,0,2,0
"08.03.2026",8.4,10.6,10.3139861111111,0,0
"09.03.2026",8.4,10.2,10.3808,0,0
"10.03.2026",8.4,11.7,10.4476694444444,0,0
"11.03.2026",8.8,13.3,10.4899083333333,0,0
