"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.01.2026",1,2.1,0,2.1,13
"02.01.2026",5.6,1.9,0.621486111111111,0.8,0
"03.01.2026",5.2,-0.2,2.7298,0.1,0
"04.01.2026",5,-2,0,0,0
"05.01.2026",6,-1,5.35164444444444,0.1,0
"06.01.2026",5.8,0,0,0.3,0
"07.01.2026",6.6,0.1,4.68461666666667,0,0
"08.01.2026",6.8,0.2,6.04825555555556,0.5,0
"09.01.2026",6.6,2.1,4.62138055555556,0.9,0
"10.01.2026",6.4,1.3,5.13391944444444,0.5,0
"11.01.2026",6.8,0.5,6.20290833333333,0,0
