"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"09.11.2025",7,12,0,0,0
"10.11.2025",8,9.7,5.63196944444444,0,0
"11.11.2025",7.2,11.2,1.84915833333333,0.1,0
"12.11.2025",8.2,10.6,7.19838888888889,0,0
"13.11.2025",8.2,13.3,5.28073333333333,0,0
"14.11.2025",7.4,13.4,0.601625,0,0
"15.11.2025",8,13,5.62645555555556,0,0
"16.11.2025",5.2,11.2,0.397480555555556,4.4,0
"17.11.2025",7,6.5,6.94359722222222,0.3,0
"18.11.2025",7,6.5,6.85061666666667,0,0
"19.11.2025",7.4,5.2,6.96498055555556,0,0
