"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"03.01.2026",9.2,18.2,8.88675833333333,0,0
"04.01.2026",8.6,16.6,7.85778055555556,0,0
"05.01.2026",8.8,16.7,8.13240277777778,0,0
"06.01.2026",9,19.8,8.42140277777778,0,0
"07.01.2026",7.4,21.8,2.80695,0.7,0
"08.01.2026",1,16.7,0,44.5,11
"09.01.2026",2.8,14.1,8.98046388888889,0.8,15
"10.01.2026",7.2,14,7.19241944444444,0.5,0
"11.01.2026",7.6,15.5,8.74377222222222,0.4,0
"12.01.2026",6.6,14.1,5.62677222222222,2.2,0
"13.01.2026",8,16.6,9.055425,0,0
