"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"02.01.2026",7.4,5.8,5.97728055555556,0.7,0
"03.01.2026",7.8,5.6,5.56291111111111,0,0
"04.01.2026",7.8,4,6.57799166666667,0,0
"05.01.2026",7.8,3.3,6.60853333333333,0,0
"06.01.2026",7,4.3,6.63573611111111,0.9,0
"07.01.2026",7,4.4,6.66169722222222,0,0
"08.01.2026",7.2,3.9,6.7937,0,0
"09.01.2026",4.4,7.2,0,10.5,0
"10.01.2026",7.4,6.2,5.76363055555556,0,0
"11.01.2026",7.4,4.6,6.80324166666667,0,0
"12.01.2026",4.6,4.1,0,4.2,0
