"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"23.11.2025",1,-0.2,0,3.2,9
"24.11.2025",4.6,2.7,0,2.5,2
"25.11.2025",1,3.7,0,10.7,15
"26.11.2025",3.6,0.5,0,10.3,1
"27.11.2025",6.4,0.5,0,0,0
"28.11.2025",5.6,-0.6,0.686144444444444,0,0
"29.11.2025",7.6,0.7,7.03874166666667,0,0
"30.11.2025",6.4,-0.8,7.04573888888889,0,0
"01.12.2025",7.4,1.5,7.04459166666667,0,0
"02.12.2025",7.4,3.4,7.02563888888889,0,0
"03.12.2025",7.4,3.3,7.042325,0,0
