"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.11.2025",8,2.5,6.60797777777778,0,0
"22.11.2025",7.2,2.6,3.44543055555556,0.2,0
"23.11.2025",7.8,2,6.08366111111111,0,0
"24.11.2025",5,2,0,1.3,0
"25.11.2025",6,4.9,0.700363888888889,0,0
"26.11.2025",7.8,4.9,6.15801388888889,0,0
"27.11.2025",6.6,4.6,0.940113888888889,0,0
"28.11.2025",6.2,8.8,0.341494444444444,0.5,0
"29.11.2025",6.8,7.8,3.32026944444444,0.3,0
"30.11.2025",7.6,6,6.05003611111111,0,0
"01.12.2025",6.6,5.7,0.433297222222222,0,0
