"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",7.7,10.1,9.55184305555555,1,0.9
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",5.7,9.95,2.83945138888889,0,10.4
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",6.9,8.9,10.7554875,1,2.3
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",5.7,9.5,6.19106527777778,0,6.6
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",7.3,11.25,8.80740416666667,0,2.3
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",7.9,10.75,9.9159875,1,0.6
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",7.6,11.55,10.9267152777778,0,4.5
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",7.1,11.8,5.24253611111111,0,2.6
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",3.8,9.2,3.09108194444444,0,8.3
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",5.4,6.1,4.13759583333333,0,12.1
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",7,7,11.0060472222222,0,4.4
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",7.1,7.65,9.22365555555555,0,2.1
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",2.7,6.1,7.26965,0,17.8
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",7.4,7.7,11.8083777777778,1,1
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",6.4,9.95,5.00960694444444,0,8.4
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",4.6,7,0.218363888888889,0,16.3
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",7.1,10.5,7.32888333333333,0,3.3
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",4.35,7.6,3.27123472222222,0,12.7
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",7.4,11.85,9.28626111111111,0,3.6
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",2.55,7.8,6.54680277777778,0,12.9
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",7.9,10.4,10.2478277777778,1,0.2
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",7.6,8.95,10.5440194444444,1,1.4
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",6.9,8.05,9.71378888888889,0,2.8
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",7,9.7,7.09328055555556,0,2.2
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",5,8.4,6.32691388888889,0,17.1
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",7.2,9.9,5.23421527777778,0,2.4
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",5.8,8.4,6.02755555555556,0,11.2
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",5.1,8.5,7.15811666666667,0,14.2
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",3.85,7.8,6.95548888888889,0,15.6
