"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"25.01.2026",8.2,12.6,6.0623,0,0
"26.01.2026",8.6,11.8,8.52406388888889,0,0
"27.01.2026",7.6,14.3,4.11051388888889,0.8,0
"28.01.2026",8.4,13.1,8.90876111111111,0,0
"29.01.2026",8.4,13,7.300075,0,0
"30.01.2026",8.6,14.9,8.98308055555556,0,0
"31.01.2026",7.8,13.3,6.27951388888889,0.7,0
"01.02.2026",8.6,13.8,9.06453611111111,0,0
"02.02.2026",7.8,11.3,7.65766944444444,0.1,0
"03.02.2026",7.8,11.3,7.87787777777778,0,0
"04.02.2026",8,13.3,9.19194722222222,0,0
