"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"16.02.2026",1,5.3,5,11.7,15
"17.02.2026",1,2.7,1.80400277777778,13.74,15
"18.02.2026",6.8,0.6,6.80847777777778,1.7,0
"19.02.2026",1.4,2.3,0.755961111111111,8,8
"20.02.2026",2.8,-1.9,8.63308611111111,0,8
"21.02.2026",7.2,4.1,9.28008055555556,0,0
"22.02.2026",1,4.4,0,13.9,15
"23.02.2026",6.8,7.6,9.55805277777778,0,1
"24.02.2026",7.8,9.3,9.73160555555556,0,0
"25.02.2026",7.8,9,9.83656388888889,0.6,0
"26.02.2026",5.4,7.3,8.28246666666667,1.5,5
