"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"14.04.2026",9.2,14.7,13,0,0
"15.04.2026",9.4,16.3,12.6037972222222,0,0
"16.04.2026",9,18,11.7563888888889,0.1,0
"17.04.2026",9.2,18,10.4463611111111,0,0
"18.04.2026",9,20,9.52922222222222,0.2,0
"19.04.2026",6.2,12.7,4.92190555555556,2.6,0
"20.04.2026",8,10.5,11.5331277777778,0,0
"21.04.2026",8.6,13.9,13.5518138888889,0,0
"22.04.2026",8.6,15.5,14.0724444444444,0,0
"23.04.2026",8.6,15.7,14.1327194444444,0,0
"24.04.2026",8.6,19.3,14.192625,0,0
