"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"20.12.2025",8.2,6.7,6.02140555555556,0,0
"21.12.2025",7.6,4.8,3.98517222222222,0,0
"22.12.2025",7,3.4,0.252116666666667,0,0
"23.12.2025",6.8,2.1,0,0,0
"24.12.2025",6.2,3.6,0,0.6,0
"25.12.2025",7.6,5.5,3.14297222222222,0,0
"26.12.2025",7,3.1,0.528938888888889,0,0
"27.12.2025",7,0.8,3.49715555555556,1.4,0
"28.12.2025",7.8,2,7.16880833333333,0,0
"29.12.2025",7.8,2.9,7.23357222222222,0,0
"30.12.2025",7.6,2.8,7.24744722222222,0,0
