"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",8.75,14.6375,11.5556666666667,8,0
"München","Deutschland :de:",8.175,14.0375,9.49108784722222,6,5.4
"Hamburg","Deutschland :de:",8.55,13.225,10.8181527777778,8,0
"Köln","Deutschland :de:",8.7,14.4,11.8705100694444,7,0.8
"Dresden","Deutschland :de:",8.65,14.2625,11.1612760416667,8,0
"Leipzig","Deutschland :de:",8.825,14.5875,12.3850708333333,8,0
"Frankfurt am Main","Deutschland :de:",9.075,17.6125,12.0630996527778,7,0.3
"Freiburg im Breisgau","Deutschland :de:",8.125,17.0875,9.37275277777778,4,12.8
"Berchtesgaden","Deutschland :de:",8.15,15.4375,11.8039399305556,5,5.5
"Garmisch-Partenkirchen","Deutschland :de:",7.375,15.5625,9.449846875,4,5.9
"Binz (Rügen)","Deutschland :de:",8.775,10.3,13.5884767361111,8,0
"Heringsdorf (Usedom)","Deutschland :de:",8.75,10.9625,13.3688142361111,8,0
"Westerland (Sylt)","Deutschland :de:",8.525,7.9,13.2080934027778,8,0
"Wernigerode (Harz)","Deutschland :de:",8.8,12.8125,13.0825381944444,8,0
"Cochem (Mosel)","Deutschland :de:",8.975,15.4,13.0225236111111,8,0
"Kempten (Allgäu)","Deutschland :de:",7.825,14.95,9.13717361111111,5,6.6
"Nürnberg","Deutschland :de:",9,16.375,12.1546743055556,7,0.4
"Münster","Deutschland :de:",8.7,14.075,11.8183006944444,7,0.4
"Stuttgart","Deutschland :de:",8.725,16.5125,11.5381388888889,4,2.3
"Norderney","Deutschland :de:",8.4,8.3125,11.3409697916667,8,0
"Erfurt","Deutschland :de:",8.925,14.3625,12.9046065972222,8,0
"Bremen","Deutschland :de:",8.525,13.4375,10.5293826388889,8,0
"Timmendorfer Strand","Deutschland :de:",8.775,12.75,12.9786847222222,6,0.9
"Karlsbad","Tschechien :cz:",8.7,14.1625,11.9767611111111,8,0
"Enschede","Niederlande :nl:",8.675,13.525,12.154296875,7,1.6
"Pilsen","Tschechien :cz:",8.825,15.5625,12.163753125,8,0
"Maastricht","Niederlande :nl:",8.775,14.975,11.8058895833333,8,0
"Giethoorn","Niederlande :nl:",8.475,11.9,11.2376385416667,7,0.8
"Groningen","Niederlande :nl:",8.125,10.5625,9.0799875,4,1.3
"Eindhoven","Niederlande :nl:",8.825,15.4125,12.3760364583333,7,0.6
"Prag","Tschechien :cz:",8.9,15.45,13.0331447916667,8,0
"Luxemburg","Luxemburg :lu:",9.1,14.875,14.005003125,8,0
"Straßburg","Frankreich :fr:",8.625,17.525,10.5773555555556,4,4.8
"Amsterdam","Niederlande :nl:",8.7,12.7375,12.4381291666667,7,0.6
"Dinant","Belgien :be:",8.95,14.575,13.4806579861111,8,0
"Rotterdam","Niederlande :nl:",8.9,13.9375,12.7770909722222,7,0.6
"Antwerpen","Belgien :be:",9.075,15.7375,13.3432333333333,8,0
"Zandvoort","Niederlande :nl:",8.7,9.925,12.6579138888889,8,0
"Český Krumlov","Tschechien :cz:",8.85,14.7,12.8158447916667,8,0
"Terschelling","Niederlande :nl:",8.35,8.4625,10.4963173611111,8,0
"Noordwijk","Niederlande :nl:",8.65,11.4375,12.7067847222222,7,1.2
"Bergen aan Zee","Niederlande :nl:",8.475,11.2375,11.8566920138889,7,0.6
"Nancy","Frankreich :fr:",8.675,17.2375,10.3464663194444,5,5.3
"Brüssel","Belgien :be:",9.05,15.875,13.6234069444444,7,0.7
"Texel","Niederlande :nl:",8.375,9.5875,10.9593697916667,7,1.2
"Scheveningen","Niederlande :nl:",8.725,11.5125,13.2397645833333,7,2.4
"Fåborg","Dänemark :dk:",8.725,10.8375,14.1510208333333,7,0.6
"Salzburg","Österreich :at:",8.375,16.45,11.7261263888889,5,3.2
"Renesse","Niederlande :nl:",8.75,10.9625,13.7867642361111,7,1.8
"Linz","Österreich :at:",8.9,16.5625,11.6922864583333,7,0.3
"Zürich","Schweiz :ch:",8.1,17.4125,9.27106944444444,4,7.8
"Basel","Schweiz :ch:",8.1,17.7125,9.64076597222222,4,14.4
"Innsbruck","Österreich :at:",7.4375,18.1375,10.6143701388889,4,1.5
"Domburg","Niederlande :nl:",8.775,11.6,13.6581958333333,7,0.6
"Breslau","Polen :pl:",8.525,13.1625,11.793675,7,0.76
"Køge","Dänemark :dk:",8.725,11.25,14.57824375,7,0.6
"Posen","Polen :pl:",8.6,13.075,11.3792684027778,7,0.9
"Zell am See","Österreich :at:",7.6,16.3375,11.6957579861111,5,5.1
"Brügge","Belgien :be:",8.85,12.9875,13.5105986111111,7,0.6
"Hallstatt","Österreich :at:",7.9625,16.6,12.0054416666667,5,3.4
"Luzern","Schweiz :ch:",7.9125,18.325,10.1453378472222,5,5.5
"De Haan","Belgien :be:",8.725,11.4375,13.5200440972222,7,1.2
"Ostende","Belgien :be:",8.75,11.9875,13.5005454861111,7,1.2
"Kopenhagen","Dänemark :dk:",8.775,11.3875,14.5708211805556,7,0.6
"Malmö","Schweden :se:",8.55,10.0875,14.4648649305556,5,1.8
"Brünn","Tschechien :cz:",8.95,15.025,13.0842149305556,8,0
"Meran","Italien :it:",6.775,19.275,9.34586701388889,4,6.3
"Bern","Schweiz :ch:",8.2,18.2375,9.95251666666667,4,7.8
"Bornholm","Dänemark :dk:",8.5,9.0875,14.2285756944444,4,4.2
"Aarhus","Dänemark :dk:",8.75,11.575,14.3404972222222,7,1
"St. Moritz","Schweiz :ch:",6.1375,9.025,8.47739756944445,4,4.4
"Hvide Sande","Dänemark :dk:",8.65,10.075,13.6218913194444,8,0
"Interlaken","Schweiz :ch:",7.7,19.2375,11.16315625,4,8.9
