"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",7.8,11.08,7.63101111111111,2,2.3
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",6.78,10,7.82481555555556,3,4.6
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",7.28,9.66,6.60463888888889,3,10.3
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",7.66,13.12,9.466345,3,4.8
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",7.76,11.82,8.50044666666667,2,5.5
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",7.84,10.94,8.280935,4,3.9
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",8.16,12.26,8.57394722222222,5,0
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",8.2,12.44,9.47002111111111,4,0.2
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",6,8.82,6.64759333333333,3,11.4
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",5.88,9.06,7.37887277777778,3,13.1
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",7.4,7.72,6.65966555555556,3,5.4
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",7.88,8.34,7.83306444444444,4,3.6
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",7.16,5.6,5.34042722222222,3,2.3
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",7.08,8.58,6.46434111111111,2,11.6
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",8.28,13.3,10.5214566666667,3,1.8
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",6.36,9.04,7.25126611111111,3,4.3
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",8.24,11.52,9.83511,5,0
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",7.68,12.14,7.71874944444444,3,2.6
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",7.28,12.32,9.00186222222222,4,0.2
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",6.9,6.84,8.26809611111111,3,1.9
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",7.96,10.96,8.87100388888889,3,1.1
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",7.16,10.18,5.75854444444444,2,9.96
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",7.28,8.48,5.77784333333333,3,6.7
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",7.28,10.06,9.49301555555556,3,2
