"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"23.01.2026",6.4,-1.8,5.18360833333333,0,0
"24.01.2026",5.6,-2.8,0.376797222222222,0,0
"25.01.2026",7.4,1.5,3.50120833333333,0,0
"26.01.2026",4.6,-1.2,0,0,0
"27.01.2026",6.8,3.4,4.43759722222222,0.9,0
"28.01.2026",5,3.7,0,3.3,0
"29.01.2026",7.2,2.4,7.63135555555556,0,0
"30.01.2026",6.8,5.7,3.45238611111111,0.3,0
"31.01.2026",7.2,7.5,4.79495,0.1,0
"01.02.2026",7.4,8.4,5.63326944444444,0,0
"02.02.2026",7.6,7.6,7.57106666666667,0,0
