"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"31.03.2026",7,10.2,0.110930555555556,0,0
"01.04.2026",7.4,12.8,7.92406666666667,2.3,0
"02.04.2026",8.2,10.8,9.77328333333333,0,0
"03.04.2026",5.4,11.4,0,2.1,0
"04.04.2026",8.2,16,6.4503,0.3,0
"05.04.2026",8.4,12.9,9.21134166666667,0,0
"06.04.2026",8.8,16.7,12.4797861111111,0.3,0
"07.04.2026",8,12.1,13.0548361111111,0,0
"08.04.2026",7.8,10.4,11.1355416666667,0,0
"09.04.2026",8,12.8,13.1124916666667,0,0
"10.04.2026",6.2,9.9,3.52455555555556,1.3,0
