"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"10.12.2025",8.4,12.1,6.28631944444444,0,0
"11.12.2025",7.8,10.7,2.04830277777778,0,0
"12.12.2025",8.4,12.3,7.25853055555556,0,0
"13.12.2025",8.4,10.2,7.5774,0,0
"14.12.2025",7.6,5.8,3.07608611111111,0,0
"15.12.2025",7,3.3,1.98041388888889,0,0
"16.12.2025",6.4,3.2,0,0,0
"17.12.2025",7.8,9.2,7.44092222222222,0,0
"18.12.2025",7.8,8.8,4.42294722222222,0,0
"19.12.2025",8,9.1,7.31998055555556,0,0
"20.12.2025",5.8,7.9,0,2.7,0
