"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg",53.550341,10.000654,5.04,5.74,0,1,7.7
"Berlin","Berlin","Berlin",52.510885,13.3989367,5.76,3.84,0.955726111111111,1,7
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern",54.1779039,12.0812875,5.16,4,0,0,4.4
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein",54.3146777135231,8.60410826459091,5.24,5.24,0.566405555555555,2,3.7
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein",53.9981853,10.7799016,5.3,4.66,0.00146444444444444,1,5.4
"Norderney","Niedersachsen","Norderney, Niedersachsen",53.7056126,7.1438175,5.52,5.36,1.80167944444444,0,6.38
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern",54.1483764,11.7441876,5.06,4.64,0,0,4.6
"Dresden","Sachsen","Dresden, Sachsen",51.0493286,13.7381437,6,5.9,1.16321722222222,2,4.2
"München","Bayern","München, Bayern",48.1371079,11.5753822,7.68,7.28,5.48207111111111,5,0
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen",50.938361,6.959974,5.88,8.94,3.16623944444444,2,5.23
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern",54.4010291,13.6076477,5.2,2.98,0.601339444444444,2,5.3
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen",53.86878,8.698286,5.16,5.8,0,1,3.4
"Leipzig","Sachsen","Leipzig, Sachsen",51.3406321,12.3747329,6.56,6.4,2.69850888888889,2,5
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen",50.1106444,8.6820917,6.1,7.76,1.78941277777778,1,2.3
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein",54.1441095,10.9588499,5.34,4.76,0.00868944444444444,1,4.1
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein",54.1298489,8.8586989,5.16,4.9,0.155523333333333,1,3.7
"Borkum","Niedersachsen","Borkum, Niedersachsen",53.5862669,6.6917449,5.56,5.66,1.34973333333333,0,8.23
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg",47.659216,9.1750718,7.18,5,6.26266,4,0
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern",53.9864246,11.205923,5.3,4.82,0,0,4.9
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern",47.4923741,11.0962815,7.64,7.88,5.52957222222222,5,0
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein",53.866444,10.684738,5.3,4.46,0,1,6.2
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern",53.5156249,12.6850606,5.2,3.58,0,1,5.1
"Berchtesgaden","Bayern","Berchtesgaden, Bayern",47.6330221,13.0020051,7.76,7.96,5.80104666666667,5,0
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern",53.9583117845254,14.1556338711397,5.08,2.66,0,2,5
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen",51.2254018,6.7763137,5.5,8.34,2.03304222222222,2,4.63
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern",54.0886707,12.1400211,5.08,3.82,0,0,4.6
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen",53.248706,10.407855,5.6,5.56,0.00627666666666667,0,6
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein",54.026634,10.7559481,5.3,4.66,0.00146444444444444,1,5.4
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein",53.9563395480557,10.8660828563105,4.92,4.6,0,0,6.1
"Hannover","Niedersachsen","Hannover, Niedersachsen",52.3744779,9.7385532,6.16,7.3,1.35536555555556,0,6.8
"Oberstdorf","Bayern","Oberstdorf, Bayern",47.4104347,10.2774409,7.76,7.5,6.48112777777778,5,0
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg",48.7784485,9.1800132,7.24,10,3.48322888888889,3,0.6
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen",51.9625101,7.6251879,5.72,7.46,0.865007222222222,2,3.3
"Potsdam","Brandenburg","Potsdam, Brandenburg",52.4009309,13.0591397,5.5,4.12,1.32909333333333,1,8.7
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern",53.8909832,11.4647932,5.2,4.52,0,0,5.3
"Norddeich","Niedersachsen","Norddeich, Niedersachsen",53.6209520645092,7.16051439568982,5.6,6.14,1.85728333333333,0,7.8
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern",54.3096314,13.0820846,5.12,3.18,0.500337777777778,2,4.7
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz",50.3533278,7.5943951,6.64,8.12,2.35070333333333,1,4.2
