"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"06.02.2026",4.6,5,0,0,5
"07.02.2026",7.8,6.7,6.44903888888889,0,0
"08.02.2026",8.4,5,8.83208333333333,0,0
"09.02.2026",7.8,3.2,6.99064444444444,0,0
"10.02.2026",7.8,5.6,8.986625,0,0
"11.02.2026",4,7,0.497886111111111,2,5
"12.02.2026",1.2,8.5,6.80766111111111,7.8,15
"13.02.2026",6.4,6.6,9.09568333333333,0,3
"14.02.2026",6,7,6.93343055555555,1.3,1
"15.02.2026",4.1,0.6,8.56181666666667,2.4,7
"16.02.2026",2.6,3.3,9.18859722222222,0,13
