"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"14.02.2026",8.8,14.5,9.97066944444444,0,0
"15.02.2026",8.8,14.8,9.94952777777778,0,0
"16.02.2026",8.8,14.6,9.83707777777778,0,0
"17.02.2026",9.2,16.2,10.0846944444444,0,0
"18.02.2026",8.2,15.4,4.49586388888889,0,0
"19.02.2026",8.8,15.2,10.1556361111111,0,0
"20.02.2026",9,14.2,10.1947944444444,0,0
"21.02.2026",9.2,17.7,10.2396916666667,0,0
"22.02.2026",9.2,18.3,10.2742666666667,0,0
"23.02.2026",9.4,18.5,10.3137416666667,0,0
"24.02.2026",9.6,20.7,10.4276777777778,0,0
