"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.03.2026",7.8,18.1,9.093625,0,3
"16.03.2026",9.2,16.8,11,0,0
"17.03.2026",9,17.6,11,0,0
"18.03.2026",8.8,13.7,11.0473,0,0
"19.03.2026",9,17.6,11.0681916666667,0,0
"20.03.2026",8.8,14.8,11.1006333333333,0,0
"21.03.2026",8.6,15.2,11.0994805555556,0,0
"22.03.2026",6.8,13.7,10.7864027777778,0,3
"23.03.2026",5.4,10.8,3.99825,0.4,4
"24.03.2026",6.8,11.9,1.161325,0,0
"25.03.2026",5.4,12.4,0,3.3,0
