"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"23.03.2026",8.8,18.9,8.33538888888889,0,0
"24.03.2026",9.4,19.4,11.4048972222222,0,0
"25.03.2026",9.4,18.3,11.481325,0,0
"26.03.2026",9.4,21.5,11.5169583333333,0,0
"27.03.2026",9.2,17.5,11.5302861111111,0,0
"28.03.2026",9.2,16.8,11.5655166666667,0,0
"29.03.2026",9.2,19.6,11.6163388888889,0,0
"30.03.2026",8,16.7,9.99641666666667,0,0
"31.03.2026",8.4,18.9,11.7300138888889,0,0
"01.04.2026",8.8,20,11.7687972222222,0,0
"02.04.2026",8.8,19.6,11.8074666666667,0,0
