"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"11.11.2025",8.8,13.2,8.36743333333333,0,0
"12.11.2025",8.8,13.8,8.24576944444444,0,0
"13.11.2025",9,17.3,8.08739444444444,0,0
"14.11.2025",8.8,15.8,8.36236388888889,0,0
"15.11.2025",7,13.5,4.85400277777778,1.1,0
"16.11.2025",6.8,13.3,8.21036944444444,1.3,0
"17.11.2025",6.2,8.7,2.55558888888889,0,0
"18.11.2025",4.6,7.2,0,5.5,0
"19.11.2025",6.8,2.8,8.104525,0,0
"20.11.2025",6.6,6.6,7.45406388888889,1,0
"21.11.2025",6.6,4.8,7.957125,0,0
