"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",6.8,0.05,6.24028194444444,1,0.3
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",5.9,-0.15,2.83045555555556,1,0.6
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",7.2,1.6,5.96650555555556,1,0.2
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",6.5,3.65,0.850111111111111,1,0.5
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",4.45,1,5.84886666666667,1,0
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",7,1.2,6.25437777777778,0,1.3
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",7.5,3.2,5.142675,1,0.3
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",7.8,1.45,7.07524583333333,2,0
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",2.1,-0.85,0.0199833333333333,0,5.1
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",7,0.45,6.19295138888889,1,1.7
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",7.2,1.9,5.01076388888889,2,0
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",7,1.6,5.87331666666667,0,1.7
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",7,6.3,5.46547916666667,0,1.6
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",3.8,1.15,4.62724444444444,0,8.7
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",7.2,4.55,3.69013194444444,2,0
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",5.8,-0.35,5.12072222222222,1,0.9
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",6.5,1.15,2.75214166666667,1,1.6
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",7,3.95,6.04000972222222,1,3.6
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",6.9,1.85,5.04699861111111,1,1.2
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",6.9,6.95,4.82119444444445,0,1.1
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",6.5,1.5,4.49538055555556,0,4.2
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",6.3,2.5,3.25815972222222,0,2.7
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",7.5,1.6,5.84905,2,0
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",4,0.55,5.69289027777778,0,6.2
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",7.2,4.6,5.20789583333333,1,1.6
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",6.6,0.75,3.84960972222222,0,4.7
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",6.8,3.85,2.55443333333333,1,0.5
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",7.5,6.3,5.64610555555556,1,0.5
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",7.2,6.5,5.37012083333333,1,0.3
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",7.4,4.95,3.93251944444444,1,0.3
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",7.2,0.85,6.53634861111111,0,1.2
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",7.5,3.3,4.01195138888889,2,0
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",7.4,2.55,6.38821944444444,1,0.3
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",7.4,6.75,5.58961527777778,1,1.5
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",7.2,4.4,4.44332777777778,1,0.5
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",7.4,6.4,5.53625555555556,1,1.2
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",6.9,5.4,2.20216944444444,1,1.5
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",7.3,6.95,5.73690555555556,1,1.2
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",4.9,-0.75,2.518675,0,8.3
