"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.01.2026",7.6,1.1,5.41188611111111,0,0
"22.01.2026",7,0.4,0.626241666666667,0,0
"23.01.2026",6.8,-1.9,6.83605555555556,0,0
"24.01.2026",5.8,-1.6,0.334225,0,0
"25.01.2026",5,-0.8,0,0.3,0
"26.01.2026",6.8,0.6,0.0860972222222222,0,0
"27.01.2026",5.4,-0.6,0,0,0
"28.01.2026",6,3.7,0.0148138888888889,1,0
"29.01.2026",7,2.7,6.42011666666667,1.8,0
"30.01.2026",6.6,3.8,3.92541666666667,0,0
"31.01.2026",7.4,5.8,6.97513888888889,0.2,0
