"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.03.2026",7.8,6,4.80662222222222,0,0
"02.03.2026",8.4,7.8,9.74895833333333,0,0
"03.03.2026",8.6,10.6,9.46351388888889,0,0
"04.03.2026",8.8,10.6,10.0805194444444,0,0
"05.03.2026",8.6,10.1,10.1794361111111,0,0
"06.03.2026",7,8.8,7.04523888888889,1.2,0
"07.03.2026",5.4,0.2,0,1.2,0
"08.03.2026",8.2,5.4,10.3363194444444,0,0
"09.03.2026",8,4.9,10.4019861111111,0,0
"10.03.2026",8.2,5.8,10.4677138888889,0,0
"11.03.2026",8.2,7.7,10.5334583333333,0,0
