"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"19.02.2026",6,9.3,4.47143333333333,0.6,3
"20.02.2026",4.8,9.1,5.920325,7.3,4
"21.02.2026",7.8,3.4,6.72760277777778,0,0
"22.02.2026",8,7.7,7.28180277777778,0,0
"23.02.2026",8.6,15,9.73565555555555,0,0
"24.02.2026",8,13.9,9.85176388888889,0,0
"25.02.2026",9,17.2,10.0148,0,0
"26.02.2026",9,14.3,10.0445611111111,0,0
"27.02.2026",8.4,14.8,10.0696111111111,0,0
"28.02.2026",8.4,14.4,10.0703277777778,0,0
"01.03.2026",7.4,11,7.6933,0.1,0
