"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.04.2026",9.2,16.9,11,0,0
"16.04.2026",8.4,17.5,8.88985277777778,0.5,0
"17.04.2026",9,18.8,8.79641944444444,0,0
"18.04.2026",8.8,19.7,9.47562777777778,0,0
"19.04.2026",7.6,13.3,6.08263888888889,0,0
"20.04.2026",8,11.8,12.5396611111111,0,0
"21.04.2026",8.6,11.1,13.8541444444444,0,0
"22.04.2026",8.6,10.2,11.5629722222222,0,0
"23.04.2026",8.6,13.4,14.0078972222222,0,0
"24.04.2026",8.2,11.2,14.3196861111111,0.9,0
"25.04.2026",8.8,13.1,14.2743333333333,0,0
