"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",6.94285714285714,2.02857142857143,4.79865873015873,4,0.9
"Berlin","Berlin","Berlin","(BE)",7.11428571428571,1.6,4.51869365079365,5,2.1
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",7.17142857142857,2.64285714285714,5.08687857142857,5,0.4
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",6.62857142857143,5.28571428571429,3.21414444444444,2,2.3
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",7,2.47142857142857,4.54477222222222,5,0.7
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",6.8,6.27142857142857,4.84074642857143,1,12.6
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",7.37142857142857,3.72857142857143,5.03255515873016,5,0.4
"Dresden","Sachsen","Dresden, Sachsen","(SN)",6.91428571428571,2.34285714285714,4.32678333333333,5,6.2
"München","Bayern","München, Bayern","(BY)",5.51428571428571,1.15714285714286,3.0981126984127,2,23.7
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",5.64285714285714,5.07142857142857,3.0430373015873,3,9
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",7.22857142857143,3,4.42583293650794,5,1.9
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",6.65714285714286,4.4,3.77227142857143,2,2.1
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",7.08571428571429,2.15714285714286,4.91431587301587,5,2.6
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",6.54285714285714,3.3,4.90878373015873,4,7.3
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",7.11428571428571,3.22857142857143,4.79485992063492,5,1.3
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",6.4,3.67142857142857,3.38413055555556,4,5.6
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",6.45714285714286,6.38571428571429,3.95463174603175,1,13.8
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",5.57142857142857,2.64285714285714,3.69568492063492,3,25.3
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",7.22857142857143,2.81428571428571,4.60187341269841,6,0.2
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",4.42857142857143,0.557142857142857,3.3787880952381,3,32.4
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",7,1.78571428571429,4.36230714285714,7,0
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",7.02857142857143,1.57142857142857,4.66879722222222,5,0.9
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",5.12857142857143,1.02857142857143,5.10576111111111,3,3.7
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",7.28571428571429,2.54285714285714,5.10173928571429,5,1.6
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",5.7,4.82857142857143,2.917875,3,10.8
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",7.14285714285714,2.44285714285714,5.11740317460317,5,0.4
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",6.97142857142857,1.88571428571429,4.75249563492063,6,0.3
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",7.02857142857143,2.54285714285714,4.54024206349206,6,0.5
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",7,2.18571428571429,4.41834365079365,6,0.6
"Hannover","Niedersachsen","Hannover, Niedersachsen","(NI)",6.91428571428571,1.85714285714286,4.89740436507936,4,3.1
"Oberstdorf","Bayern","Oberstdorf, Bayern","(BY)",3.54285714285714,0.128571428571429,3.36186547619048,2,48.7
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg","(BW)",6.68571428571429,3.71428571428571,5.69556865079365,3,4.1
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen","(NW)",6.5,4.34285714285714,4.17335198412698,3,5.2
"Potsdam","Brandenburg","Potsdam, Brandenburg","(BB)",7.02857142857143,1.94285714285714,4.22454206349206,5,2.7
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern","(MV)",7.05714285714286,1.91428571428571,4.75998095238095,6,0.3
"Norddeich","Niedersachsen","Norddeich, Niedersachsen","(NI)",6.74285714285714,5.41428571428571,4.77804444444444,1,13.2
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern","(MV)",7.28571428571429,2.51428571428571,5.04625357142857,5,1.5
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz","(RP)",6.18571428571429,5.12857142857143,3.92629126984127,3,8
"Lindau","Bayern","Lindau, Bayern","(BY)",4.71428571428571,3.48571428571429,3.23619603174603,3,40.9
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg","(BW)",6.55714285714286,4.42857142857143,5.03418055555556,4,1.6
