"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"18.01.2026",8.2,7.1,7.25458611111111,0,0
"19.01.2026",8.2,6.7,7.20871944444444,0,0
"20.01.2026",8.2,7.3,7.51470555555556,0,0
"21.01.2026",8.2,5,7.55663888888889,0,0
"22.01.2026",8,7.9,7.07735555555556,0,0
"23.01.2026",7.6,5.7,4.50314722222222,0,0
"24.01.2026",7.8,7,7.74394166666667,0,0
"25.01.2026",7.8,4.4,7.79916388888889,0,0
"26.01.2026",7.8,5.2,7.84918333333333,0,0
"27.01.2026",7.4,4.5,7.91496666666667,0,0
"28.01.2026",6,2.2,0,0.2,0
