"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg",53.550341,10.000654,6.775,5.5,2.2523,6,1.7
"Berlin","Berlin","Berlin",52.510885,13.3989367,6.85,3.3875,2.70136145833333,6,6.4
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern",54.1779039,12.0812875,6.6,4.4875,2.51364444444444,4,7.1
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein",54.3146777135231,8.60410826459091,6.075,7.2,3.00505659722222,3,5.7
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein",53.9981853,10.7799016,6.825,5.3875,2.82020486111111,5,2.5
"Norderney","Niedersachsen","Norderney, Niedersachsen",53.7056126,7.1438175,6.35,7.7125,2.27266875,3,11.8
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern",54.1483764,11.7441876,6.85,5.2,3.16030347222222,4,6.1
"Dresden","Sachsen","Dresden, Sachsen",51.0493286,13.7381437,6.95,3.9875,3.14103472222222,6,0.5
"München","Bayern","München, Bayern",48.1371079,11.5753822,5.05,2.4,3.25872534722222,4,23.5
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen",50.938361,6.959974,5.4875,7.4125,1.90939375,3,13.8
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern",54.4010291,13.6076477,6.525,4.575,2.62822361111111,4,7.3
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen",53.86878,8.698286,6.6,6.4875,2.78561493055556,5,2.2
"Leipzig","Sachsen","Leipzig, Sachsen",51.3406321,12.3747329,6.85,4,2.718003125,7,5.5
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen",50.1106444,8.6820917,6.675,5.5375,2.827003125,6,8.3
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein",54.1441095,10.9588499,6.8,5.9125,2.96321423611111,5,3.4
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein",54.1298489,8.8586989,6.45,6.5375,2.76898333333333,3,3.9
"Borkum","Niedersachsen","Borkum, Niedersachsen",53.5862669,6.6917449,6.375,7.7125,2.27088923611111,3,11.1
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg",47.659216,9.1750718,5.45,4.875,3.44674479166667,4,34.4
