"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",3.6,1.63333333333333,0.106228703703704,0,8.4
"München","Deutschland :de:",3.5,3.16666666666667,2.69046203703704,0,5.1
"Hamburg","Deutschland :de:",3.93333333333333,2,0,0,11.9
"Köln","Deutschland :de:",4,3.46666666666667,2.79113425925926,0,12.9
"Dresden","Deutschland :de:",2.56666666666667,3.1,1.0948787037037,1,9.3
"Leipzig","Deutschland :de:",4.63333333333333,3.46666666666667,2.11148796296296,1,5.6
"Frankfurt am Main","Deutschland :de:",3.33333333333333,3.8,2.58998425925926,0,3.85
"Freiburg im Breisgau","Deutschland :de:",2.66666666666667,6.53333333333333,3.39403611111111,0,13.75
"Berchtesgaden","Deutschland :de:",2.53333333333333,2.53333333333333,4.36549814814815,0,17.45
"Garmisch-Partenkirchen","Deutschland :de:",1.7,1.7,1.14562222222222,0,20.7
"Binz (Rügen)","Deutschland :de:",3.2,-0.2,0.884958333333333,0,8.6
"Heringsdorf (Usedom)","Deutschland :de:",3.46666666666667,-0.7,0.740974074074074,0,6.9
"Westerland (Sylt)","Deutschland :de:",5.46666666666667,1.16666666666667,1.93486759259259,0,7.3
"Wernigerode (Harz)","Deutschland :de:",2.4,1.9,1.97820740740741,0,20.24
"Cochem (Mosel)","Deutschland :de:",4.06666666666667,3.96666666666667,1.20235925925926,0,9.8
"Kempten (Allgäu)","Deutschland :de:",1.5,2.8,1.53734166666667,0,15.1
"Nürnberg","Deutschland :de:",2.93333333333333,3.4,2.12360462962963,0,2.8
"Münster","Deutschland :de:",4.26666666666667,2.36666666666667,1.87845555555556,1,12.8
"Stuttgart","Deutschland :de:",2.6,4.96666666666667,4.34255,0,5.4
"Norderney","Deutschland :de:",4.46666666666667,2.76666666666667,2.07069814814815,1,14.1
"Erfurt","Deutschland :de:",4,3.23333333333333,2.27163425925926,1,3.06
"Bremen","Deutschland :de:",3.66666666666667,3.16666666666667,0,0,11.76
"Timmendorfer Strand","Deutschland :de:",4.33333333333333,1.53333333333333,0,0,17.7
"Karlsbad","Tschechien :cz:",2.13333333333333,1.26666666666667,0.789032407407407,0,8.46
"Enschede","Niederlande :nl:",4.46666666666667,2.3,2.3889712962963,1,13.4
"Pilsen","Tschechien :cz:",4.3,1.73333333333333,2.46831111111111,1,3.8
"Maastricht","Niederlande :nl:",4.2,4.56666666666667,2.64080555555556,0,16.7
"Giethoorn","Niederlande :nl:",4.8,1.96666666666667,3.11153055555556,1,10
"Groningen","Niederlande :nl:",4.66666666666667,1.66666666666667,2.64276203703704,1,13.3
"Eindhoven","Niederlande :nl:",4.4,3.73333333333333,2.81028333333333,0,8.8
"Prag","Tschechien :cz:",4.3,1.76666666666667,0.802051851851852,2,2.9
"Luxemburg","Luxemburg :lu:",3.66666666666667,3,1.56739907407407,0,14.1
"Straßburg","Frankreich :fr:",2.53333333333333,5.1,3.61696481481481,0,3.95
"Amsterdam","Niederlande :nl:",4.53333333333333,3.16666666666667,3.14425092592593,1,8.5
"Dinant","Belgien :be:",4.13333333333333,4.9,1.92263888888889,0,20.6
"Rotterdam","Niederlande :nl:",4.53333333333333,3.93333333333333,2.21754444444444,1,7.2
"Antwerpen","Belgien :be:",4.46666666666667,4.56666666666667,2.25809074074074,1,7.9
"Zandvoort","Niederlande :nl:",4.46666666666667,5.13333333333333,2.53924814814815,0,5.7
"Český Krumlov","Tschechien :cz:",4.33333333333333,0.766666666666667,4.29494351851852,1,5
"Terschelling","Niederlande :nl:",5.53333333333333,4.46666666666667,3.20900925925926,1,10.9
"Noordwijk","Niederlande :nl:",4.53333333333333,4.63333333333333,2.33058518518519,1,5.2
"Bergen aan Zee","Niederlande :nl:",4.4,4.16666666666667,2.96347222222222,1,7.7
"Nancy","Frankreich :fr:",2.9,4.66666666666667,2.40291666666667,0,4.9
"Brüssel","Belgien :be:",4.33333333333333,5.33333333333333,2.26471851851852,0,15.4
"Texel","Niederlande :nl:",4.66666666666667,4.4,2.26112314814815,1,10
"Scheveningen","Niederlande :nl:",4.53333333333333,4.93333333333333,2.20643518518518,1,5.3
"Fåborg","Dänemark :dk:",4,-0.733333333333333,0.616931481481481,0,10
"Salzburg","Österreich :at:",2.53333333333333,2.9,4.33857037037037,0,11.5
"Renesse","Niederlande :nl:",4.6,5.63333333333333,2.2462212962963,1,5.1
"Linz","Österreich :at:",4,1.6,2.51206574074074,1,5.6
"Zürich","Schweiz :ch:",1.63333333333333,4.66666666666667,1.68795277777778,0,11.15
"Basel","Schweiz :ch:",1.9,5.16666666666667,4.04678888888889,0,9.9
"Innsbruck","Österreich :at:",2.1,0.866666666666667,1.95202407407407,0,16.55
"Domburg","Niederlande :nl:",4.6,5.73333333333333,2.25675092592593,1,5.8
"Breslau","Polen :pl:",5.66666666666667,1.06666666666667,2.19275092592593,1,3.2
"Køge","Dänemark :dk:",4.2,-1.1,0,0,3.4
"Posen","Polen :pl:",4.8,-0.2,1.9709712962963,1,8.1
"Zell am See","Österreich :at:",2.3,-0.366666666666667,4.30364074074074,0,25.35
"Brügge","Belgien :be:",4.53333333333333,5.46666666666667,2.27619351851852,0,9.7
"Hallstatt","Österreich :at:",2.06666666666667,1.66666666666667,4.62256574074074,0,22.4
"Luzern","Schweiz :ch:",2.26666666666667,5.5,3.28643333333333,0,9.4
"De Haan","Belgien :be:",4.6,5.66666666666667,2.2379962962963,0,7.9
"Ostende","Belgien :be:",4.6,5.63333333333333,2.27920925925926,0,9.6
"Kopenhagen","Dänemark :dk:",4.26666666666667,-0.7,0,0,2.1
"Malmö","Schweden :se:",4.53333333333333,-1.43333333333333,0.0516824074074074,0,1.5
"Brünn","Tschechien :cz:",4.6,0.166666666666667,2.63847407407407,1,4.8
"Meran","Italien :it:",6.73333333333333,2.43333333333333,3.96665462962963,1,1.5
"Bern","Schweiz :ch:",2.23333333333333,5.3,3.97161296296296,0,13.15
"Bornholm","Dänemark :dk:",3.93333333333333,-2.36666666666667,1.13678425925926,2,1.1
"Aarhus","Dänemark :dk:",3.86666666666667,-0.733333333333333,0.232217592592593,0,8.4
"St. Moritz","Schweiz :ch:",1.86666666666667,-5.13333333333333,1.67312407407407,0,13.56
"Hvide Sande","Dänemark :dk:",4.66666666666667,-1.26666666666667,1.39820648148148,1,4.6
"Interlaken","Schweiz :ch:",1.2,4.16666666666667,0.798600925925926,0,18.4
"Bozen","Italien :it:",7.33333333333333,2.53333333333333,4.19271851851852,3,0
"Wien","Österreich :at:",6.03333333333333,2.76666666666667,4.51411203703704,2,2.6
"Dijon","Frankreich :fr:",3.96666666666667,4.83333333333333,4.81539074074074,0,7.86
"Ostrava","Tschechien :cz:",6.33333333333333,-0.333333333333333,2.24644722222222,3,0
"Klagenfurt am Wörthersee","Österreich :at:",6.13333333333333,1.5,5.67391296296296,1,2.2
"Riva del Garda","Italien :it:",7.33333333333333,4.36666666666667,5.65388518518519,2,0.3
"Graz","Österreich :at:",6.46666666666667,2.53333333333333,4.8993537037037,2,2.3
"Le Touquet-Paris-Plage","Frankreich :fr:",3.56666666666667,8.13333333333333,2.24775740740741,0,17.8
"Bratislava","Slowakei :sk:",5.73333333333333,1.06666666666667,4.52907685185185,2,5.25
"Zermatt","Schweiz :ch:",1,-2.4,0.187011111111111,0,38.9
"Bled","Slowenien :si:",5.5,1.73333333333333,5.60728796296296,1,6.5
"Paris","Frankreich :fr:",3.4,8.9,2.36801666666667,0,6.36
