"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"11.04.2026",9,11.2,13,0,0
"12.04.2026",9,11.5,13,0,0
"13.04.2026",9,13.2,13.1250305555556,0,0
"14.04.2026",8.8,13.9,9.44563888888889,0,0
"15.04.2026",9,14.5,14.4801777777778,0,0
"16.04.2026",9,14.8,14.5751777777778,0,0
"17.04.2026",5.8,6.8,0,3.6,0
"18.04.2026",8.4,9.6,10.5390055555556,0,0
"19.04.2026",8.6,6.9,14.8495361111111,0,0
"20.04.2026",8.6,10.6,14.8935916666667,0,0
"21.04.2026",8.8,12.7,14.5385833333333,0,0
