"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",6.72,5,1.791035,4,1.3
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",5.92,4.26,2.10344833333333,2,2.4
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",6.28,6.04,0.317711666666667,3,0.9
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",5.56,8.18,2.45695444444444,0,8.33
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",7.2,6.14,3.89893722222222,4,1.1
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",7.24,6.16,3.15568944444444,5,0
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",5.98,5.72,0.553747777777778,3,2.56
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",6.76,7.88,4.57691,2,4
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",6.48,3.06,3.71613888888889,1,1.95
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",6.22,5.06,5.42959222222222,2,4.6
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",6.56,4.62,1.07139166666667,4,3.4
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",6.52,4.06,1.23190333333333,4,2.4
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",6,6.26,0.925599444444444,2,2.2
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",6.92,6.8,2.72624555555556,4,1.2
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",6.06,7.92,0.680362222222222,2,2.5
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",5.62,3.38,1.76185888888889,2,2.3
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",6.6,5.02,1.69044944444444,3,1.5
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",6.08,8.22,1.09539277777778,1,4.1
