"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"05.04.2026",9.6,19.6,12.6504083333333,0,0
"06.04.2026",7,22.3,6.86016944444444,1.9,3
"07.04.2026",2.6,17.4,6.48509166666667,1.8,15
"08.04.2026",8,17.8,12.76805,0,1
"09.04.2026",8,18.8,9.39576111111111,0.6,0
"10.04.2026",8.2,16.7,12.8146583333333,1.2,0
"11.04.2026",7.4,15.1,7.46835555555556,0.3,0
"12.04.2026",8.6,17,12.9005861111111,0,0
"13.04.2026",8.8,14.6,12.9169861111111,0,0
"14.04.2026",8.8,15,12.9333111111111,0,0
"15.04.2026",9,19.3,12.9496055555556,0,0
