"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg",53.550341,10.000654,5,1,2.83400787037037,3,14.9
"Berlin","Berlin","Berlin",52.510885,13.3989367,5.23333333333333,2.21666666666667,2.62194583333333,1,6.11
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern",54.1779039,12.0812875,5.06666666666667,-0.516666666666667,4.09182546296296,3,11
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein",54.3146777135231,8.60410826459091,5.13333333333333,0.583333333333333,3.86384861111111,3,13.8
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein",53.9981853,10.7799016,5.1,-0.316666666666667,3.60156296296296,3,15.8
"Norderney","Niedersachsen","Norderney, Niedersachsen",53.7056126,7.1438175,5.56666666666667,1.83333333333333,3.84109305555556,1,10.85
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern",54.1483764,11.7441876,5.26666666666667,-0.316666666666667,4.14272222222222,3,11.8
"Dresden","Sachsen","Dresden, Sachsen",51.0493286,13.7381437,4.1,3.75,2.70241712962963,1,11.78
"München","Bayern","München, Bayern",48.1371079,11.5753822,3.3,5.1,2.75433796296296,0,17.86
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen",50.938361,6.959974,4.08333333333333,5.91666666666667,3.74782731481481,1,13
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern",54.4010291,13.6076477,5.33333333333333,-1.16666666666667,4.83977592592593,4,8.4
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen",53.86878,8.698286,5.16666666666667,1.11666666666667,3.7935162037037,3,9.96
"Leipzig","Sachsen","Leipzig, Sachsen",51.3406321,12.3747329,5.15,3.7,3.10375972222222,1,10.08
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen",50.1106444,8.6820917,5.01666666666667,5.6,3.30156527777778,1,10
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein",54.1441095,10.9588499,5.3,-0.5,4.20812916666667,3,14.7
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein",54.1298489,8.8586989,5.03333333333333,0.783333333333333,3.77060833333333,3,11.9
"Borkum","Niedersachsen","Borkum, Niedersachsen",53.5862669,6.6917449,5.36666666666667,1.96666666666667,3.70616805555556,1,6.15
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg",47.659216,9.1750718,3.78333333333333,6.08333333333333,4.33890925925926,1,16.1
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern",53.9864246,11.205923,5.2,-0.283333333333333,3.79735555555556,3,12.95
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern",47.4923741,11.0962815,3.5,4.96666666666667,3.21608333333333,1,33.06
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein",53.866444,10.684738,5.03333333333333,0.116666666666667,3.43184583333333,3,15.4
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern",53.5156249,12.6850606,4.76666666666667,-0.366666666666667,2.80489444444444,2,14.9
"Berchtesgaden","Bayern","Berchtesgaden, Bayern",47.6330221,13.0020051,3.65,4.73333333333333,3.11399027777778,1,23.55
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern",53.9583117845254,14.1556338711397,5.13333333333333,-0.85,4.42439675925926,2,9
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen",51.2254018,6.7763137,4.38333333333333,5.41666666666667,3.25719305555556,2,11.6
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern",54.0886707,12.1400211,5.1,-0.55,4.02580648148148,3,10.5
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen",53.248706,10.407855,4.9,1.2,2.44848564814815,3,14.06
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein",54.026634,10.7559481,5.1,-0.316666666666667,3.58505231481481,3,15.9
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein",53.9563395480557,10.8660828563105,5.1,-0.166666666666667,3.46368611111111,3,14.66
"Hannover","Niedersachsen","Hannover, Niedersachsen",52.3744779,9.7385532,3.56666666666667,3.36666666666667,2.57190324074074,2,22.48
"Oberstdorf","Bayern","Oberstdorf, Bayern",47.4104347,10.2774409,2.6,3.01666666666667,2.80788472222222,0,54.1
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg",48.7784485,9.1800132,3.55,5.96666666666667,3.65890138888889,1,14.1
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen",51.9625101,7.6251879,4.28333333333333,4.35,2.72660185185185,1,13.8
"Potsdam","Brandenburg","Potsdam, Brandenburg",52.4009309,13.0591397,4.66666666666667,2.28333333333333,2.66794861111111,1,4.25
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern",53.8909832,11.4647932,5.1,-1.85037170770859e-17,3.64341805555556,3,14.1
"Norddeich","Niedersachsen","Norddeich, Niedersachsen",53.6209520645092,7.16051439568982,5.3,1.81666666666667,3.76203981481481,1,12.53
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern",54.3096314,13.0820846,5.3,-1.05,4.76308842592593,3,7.5
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz",50.3533278,7.5943951,4.71666666666667,6.18333333333333,2.58738009259259,1,7
"Lindau","Bayern","Lindau, Bayern",47.550753,9.6926624,3.16666666666667,5.78333333333333,3.12771527777778,0,36.2
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg",49.4093582,8.694724,4.46666666666667,6.83333333333333,3.32462638888889,1,24.65
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern",54.4387302,12.6821366,5.36666666666667,-0.733333333333333,4.84831157407407,4,10.4
"Erfurt","Thüringen","Erfurt, Thüringen",50.9777974,11.0287364,4.5,3.4,2.32788703703704,1,12.23
"Juist","Niedersachsen","Juist, Niedersachsen",53.6784483,6.9956079,5.5,1.8,3.74797268518519,3,11.7
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen",53.4999753,7.0906967,5.31666666666667,1.98333333333333,3.56785509259259,2,7.1
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein",54.3717445,10.9809235,5.06666666666667,-0.716666666666667,4.34749398148148,3,13.4
"Füssen","Bayern","Füssen, Bayern",47.5675998,10.6993217,2.86666666666667,3.51666666666667,3.45473796296296,0,22.16
"Bremen","Bremen","Bremen",53.0758196,8.8071646,4.93333333333333,2.16666666666667,3.51915324074074,2,12.8
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein",54.3227085,10.135555,4.93333333333333,-0.383333333333333,3.21766944444444,3,12.05
"Bamberg","Bayern","Bamberg, Bayern",49.8916044,10.8868478,3.98333333333333,4.48333333333333,3.03684351851852,1,13.22
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg",47.9960901,7.8494005,3.5,6.8,3.7941662037037,0,22.2
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz",50.1483916,7.1663195,5.6,5.98333333333333,3.17045694444444,1,5.8
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz",49.7596208,6.6441878,3.68333333333333,6.23333333333333,3.22734953703704,1,12.4
